exp_weight,calc_time,n_rollouts,pct_wins,pct_losses,ave_expanded,ave_gametime,player_id
0.5,0.1,100,0.26,0.52,1.2387755102040816,4.621178946495056,1
0.5,0.1,500,0.2,0.68,1.0,19.96481022357941,1
0.5,0.1,1000,0.14,0.74,1.0,38.17851474761963,1
0.5,0.5,100,0.38,0.5,4.741379310344827,12.494589829444886,1
0.5,0.5,500,0.32,0.5,1.2556742323097465,22.58689821243286,1
0.5,0.5,1000,0.22,0.62,1.0027416038382453,38.5578724193573,1
0.5,1.0,100,0.62,0.26,9.953229398663698,28.63031291484833,1
0.5,1.0,500,0.32,0.56,2.3588290840415485,28.914895329475403,1
0.5,1.0,1000,0.36,0.38,1.358288770053476,43.11705519676209,1
0.5,2.0,100,0.84,0.1,19.66269545793001,55.39636049747467,1
0.5,2.0,500,0.36,0.58,4.208255159474672,49.31477667331696,1
0.5,2.0,1000,0.34,0.5,2.4397163120567376,60.75114206314087,1
1.0,0.1,100,0.26,0.54,1.342969776609724,4.4510792636871335,1
1.0,0.1,500,0.32,0.54,1.0,17.6677285528183,1
1.0,0.1,1000,0.26,0.58,1.0,39.35531435489654,1
1.0,0.5,100,0.3,0.48,4.940185341196293,13.394069623947145,1
1.0,0.5,500,0.32,0.52,1.2453861927546137,21.96620632171631,1
1.0,0.5,1000,0.3,0.58,1.009946949602122,35.41063911914826,1
1.0,1.0,100,0.7,0.08,10.404712404712404,30.621342940330507,1
1.0,1.0,500,0.28,0.62,2.3778213935230617,27.91312361240387,1
1.0,1.0,1000,0.18,0.58,1.3835616438356164,44.291360850334165,1
1.0,2.0,100,0.8,0.16,68.72931785195937,56.87051988124848,1
1.0,2.0,500,0.3,0.56,4.105786618444847,51.84884902000427,1
1.0,2.0,1000,0.3,0.54,2.4361036639857017,60.06777972698212,1
1.414,0.1,100,0.22,0.52,1.3241239892183287,4.425680904388428,1
1.414,0.1,500,0.24,0.56,1.0,18.090941066741944,1
1.414,0.1,1000,0.3,0.6,1.0,37.68348592281342,1
1.414,0.5,100,0.36,0.38,5.140017286084702,12.934073481559754,1
1.414,0.5,500,0.22,0.58,1.2587749483826565,22.14174077510834,1
1.414,0.5,1000,0.3,0.5,1.0066401062417,38.48324329376221,1
1.414,1.0,100,0.56,0.24,10.168539325842696,30.238620347976685,1
1.414,1.0,500,0.28,0.54,2.276084949215143,30.510979685783383,1
1.414,1.0,1000,0.22,0.58,1.2745874587458743,45.50737547874451,1
1.414,2.0,100,0.72,0.18,18.334975369458128,58.76842132568359,1
1.414,2.0,500,0.4,0.42,4.116681071737252,54.03036703586579,1
1.414,2.0,1000,0.28,0.64,2.2791164658634537,54.65864101409912,1
1.8,0.1,100,0.14,0.62,1.3366013071895424,4.542675247192383,1
1.8,0.1,500,0.2,0.6,1.0,17.668149333000184,1
1.8,0.1,1000,0.3,0.54,1.0,35.30313509941101,1
1.8,0.5,100,0.3,0.52,5.45,13.317111115455628,1
1.8,0.5,500,0.28,0.54,1.3431167016072676,21.01767832279205,1
1.8,0.5,1000,0.04,0.8,1.0086206896551724,35.61569366455078,1
1.8,1.0,100,0.58,0.3,10.299565846599132,29.298952922821044,1
1.8,1.0,500,0.32,0.58,2.436229205175601,29.350524606704717,1
1.8,1.0,1000,0.2,0.52,1.3464406779661018,42.72191606044769,1
1.8,2.0,100,0.62,0.28,19.55028328611898,58.20591661453247,1
1.8,2.0,500,0.42,0.38,4.26498127340824,49.0638965845108,1
1.8,2.0,1000,0.38,0.54,2.3892045454545454,57.83940542697906,1
