exp_weight,calc_time,n_rollouts,pct_wins,pct_losses,ave_expanded,ave_gametime,player_id
0.5,0.1,100,0.38,0.62,4.9437229437229435,0.5110790061950684,1
0.5,0.1,500,0.5,0.5,1.1818181818181819,0.6209817695617675,1
0.5,0.1,1000,0.46,0.54,1.0,1.1155465316772462,1
0.5,0.1,5000,0.4,0.6,1.0,5.500657415390014,1
0.5,0.5,100,0.5,0.5,28.40366972477064,2.2194645547866823,1
0.5,0.5,500,0.4,0.6,5.237668161434978,2.419474458694458,1
0.5,0.5,1000,0.22,0.78,2.608108108108108,2.6131415700912477,1
0.5,0.5,5000,0.42,0.58,1.0,5.108683662414551,1
0.5,1.0,100,0.62,0.38,61.65094339622642,4.271482195854187,1
0.5,1.0,500,0.62,0.38,10.820627802690582,4.671261968612671,1
0.5,1.0,1000,0.36,0.64,5.180995475113122,4.830900011062622,1
0.5,1.0,5000,0.5,0.5,1.2126696832579185,5.983363637924194,1
0.5,2.0,100,0.62,0.38,133.2258064516129,8.711659016609191,1
0.5,2.0,500,0.68,0.32,23.370689655172413,9.470076518058777,1
0.5,2.0,1000,0.62,0.38,10.873303167420815,9.220843486785888,1
0.5,2.0,5000,0.32,0.68,2.3408071748878925,11.098858799934387,1
1.0,0.1,100,0.5,0.5,5.427947598253275,0.5008276844024658,1
1.0,0.1,500,0.44,0.56,1.2432432432432432,0.5988057088851929,1
1.0,0.1,1000,0.44,0.56,1.0,0.9980591440200806,1
1.0,0.1,5000,0.52,0.48,1.0,5.214533743858337,1
1.0,0.5,100,0.62,0.38,28.855813953488372,2.1877392864227296,1
1.0,0.5,500,0.54,0.46,5.541125541125541,2.5446157026290894,1
1.0,0.5,1000,0.3,0.7,2.763392857142857,2.5916174936294554,1
1.0,0.5,5000,0.42,0.58,1.0,5.239996399879455,1
1.0,1.0,100,0.72,0.28,63.49545454545454,4.4344971561431885,1
1.0,1.0,500,0.7,0.3,11.012875536480687,4.860327272415161,1
1.0,1.0,1000,0.48,0.52,5.533898305084746,5.169682936668396,1
1.0,1.0,5000,0.44,0.56,1.2595744680851064,6.372018294334412,1
1.0,2.0,100,0.66,0.34,422.471615720524,9.188596024513245,1
1.0,2.0,500,0.64,0.36,23.103896103896105,9.440348443984986,1
1.0,2.0,1000,0.62,0.38,10.811659192825113,9.302311162948609,1
1.0,2.0,5000,0.34,0.66,2.3545454545454545,10.981095600128175,1
1.414,0.1,100,0.54,0.46,5.482142857142857,0.49056758880615237,1
1.414,0.1,500,0.4,0.6,1.2376681614349776,0.6017713260650634,1
1.414,0.1,1000,0.44,0.56,1.0,1.0091505861282348,1
1.414,0.1,5000,0.58,0.42,1.0,5.051892023086548,1
1.414,0.5,100,0.56,0.44,28.843601895734597,2.1459952878952024,1
1.414,0.5,500,0.5,0.5,5.541850220264317,2.495310139656067,1
1.414,0.5,1000,0.38,0.62,2.8088888888888888,2.634754614830017,1
1.414,0.5,5000,0.38,0.62,1.0,5.106773743629455,1
1.414,1.0,100,0.62,0.38,61.96666666666667,4.230787138938904,1
1.414,1.0,500,0.7,0.3,10.912280701754385,4.753948965072632,1
1.414,1.0,1000,0.62,0.38,5.5574468085106385,5.147138276100159,1
1.414,1.0,5000,0.44,0.56,1.2747747747747749,6.08502230644226,1
1.414,2.0,100,0.6,0.4,212.25221238938053,9.071285881996154,1
1.414,2.0,500,0.7,0.3,22.928571428571427,9.143824701309205,1
1.414,2.0,1000,0.7,0.3,10.91304347826087,9.582377719879151,1
1.414,2.0,5000,0.38,0.62,2.359090909090909,10.968068695068359,1
1.8,0.1,100,0.52,0.48,5.488986784140969,0.4979518842697144,1
1.8,0.1,500,0.4,0.6,1.2643171806167401,0.6180522441864014,1
1.8,0.1,1000,0.5,0.5,1.0,1.020030198097229,1
1.8,0.1,5000,0.44,0.56,1.0,5.0347088432312015,1
1.8,0.5,100,0.66,0.34,29.013513513513512,2.2570759582519533,1
1.8,0.5,500,0.58,0.42,5.54978354978355,2.5260687017440797,1
1.8,0.5,1000,0.44,0.56,2.819004524886878,2.584636664390564,1
1.8,0.5,5000,0.46,0.54,1.0,5.167046751976013,1
1.8,1.0,100,0.6,0.4,62.47488584474886,4.41350435256958,1
1.8,1.0,500,0.68,0.32,10.86936936936937,4.627313013076782,1
1.8,1.0,1000,0.58,0.42,5.527027027027027,4.858304119110107,1
1.8,1.0,5000,0.4,0.6,1.2232558139534884,5.8270601606369015,1
1.8,2.0,100,0.74,0.26,415.08482142857144,8.99090497493744,1
1.8,2.0,500,0.66,0.34,22.943722943722943,9.426708126068116,1
1.8,2.0,1000,0.72,0.28,10.899563318777293,9.538298072814941,1
1.8,2.0,5000,0.38,0.62,2.3363636363636364,10.92695343017578,1
2.5,0.1,100,0.56,0.44,5.452914798206278,0.4884291648864746,1
2.5,0.1,500,0.42,0.58,1.2237442922374429,0.5885462760925293,1
2.5,0.1,1000,0.46,0.54,1.0,1.0400613975524902,1
2.5,0.1,5000,0.44,0.56,1.0,5.195861296653748,1
2.5,0.5,100,0.62,0.38,29.01834862385321,2.2171313428878783,1
2.5,0.5,500,0.6,0.4,5.584070796460177,2.489983024597168,1
2.5,0.5,1000,0.4,0.6,2.7837837837837838,2.5613837957382204,1
2.5,0.5,5000,0.36,0.64,1.0,5.178714456558228,1
2.5,1.0,100,0.54,0.46,69.54976303317535,4.250515537261963,1
2.5,1.0,500,0.72,0.28,10.930434782608696,4.797411003112793,1
2.5,1.0,1000,0.58,0.42,5.535714285714286,4.90713668346405,1
2.5,1.0,5000,0.36,0.64,1.2466960352422907,6.1635988903045655,1
2.5,2.0,100,0.62,0.38,146.41784037558685,8.54890239238739,1
2.5,2.0,500,0.62,0.38,22.92241379310345,9.477930445671081,1
2.5,2.0,1000,0.72,0.28,11.076271186440678,9.835752530097961,1
2.5,2.0,5000,0.4,0.6,2.3893805309734515,11.25199348449707,1
0.5,0.1,100,0.38,0.62,4.918103448275862,0.5113640308380127,2
0.5,0.1,500,0.44,0.56,1.2272727272727273,0.6436558389663696,2
0.5,0.1,1000,0.46,0.54,1.0,1.1223592376708984,2
0.5,0.1,5000,0.54,0.46,1.0,5.389427404403687,2
0.5,0.5,100,0.48,0.52,26.574468085106385,2.396548366546631,2
0.5,0.5,500,0.42,0.58,5.241228070175438,2.4753120231628416,2
0.5,0.5,1000,0.36,0.64,2.753303964757709,2.6474361038208007,2
0.5,0.5,5000,0.5,0.5,1.0,5.185577020645142,2
0.5,1.0,100,0.44,0.56,131.0493273542601,4.499843955039978,2
0.5,1.0,500,0.6,0.4,10.743589743589745,4.8978791999816895,2
0.5,1.0,1000,0.54,0.46,5.3852813852813854,5.0587178993225095,2
0.5,1.0,5000,0.5,0.5,1.2334801762114538,6.194729385375976,2
0.5,2.0,100,0.5,0.5,921.3141592920354,9.073716096878051,2
0.5,2.0,500,0.56,0.44,22.24890829694323,9.364754939079283,2
0.5,2.0,1000,0.62,0.38,10.782051282051285,9.766354041099548,2
0.5,2.0,5000,0.38,0.62,2.3684210526315788,11.404554443359377,2
1.0,0.1,100,0.38,0.62,4.946902654867257,0.5007651901245117,2
1.0,0.1,500,0.4,0.6,1.231818181818182,0.6464107418060303,2
1.0,0.1,1000,0.44,0.56,1.0,1.068528127670288,2
1.0,0.1,5000,0.4,0.6,1.0,5.287691516876221,2
1.0,0.5,100,0.56,0.44,27.96551724137931,2.359727783203125,2
1.0,0.5,500,0.56,0.44,5.40625,2.49929500579834,2
1.0,0.5,1000,0.26,0.74,2.7444933920704844,2.68600522518158,2
1.0,0.5,5000,0.44,0.56,1.0,5.379749836921692,2
1.0,1.0,100,0.62,0.38,59.12775330396476,4.582851872444153,2
1.0,1.0,500,0.66,0.34,10.87878787878788,4.842793397903442,2
1.0,1.0,1000,0.56,0.44,5.43859649122807,5.02840630531311,2
1.0,1.0,5000,0.38,0.62,1.2293577981651376,5.942099766731262,2
1.0,2.0,100,0.54,0.46,351.7442922374429,8.79718409061432,2
1.0,2.0,500,0.58,0.42,22.66525423728813,9.655592641830443,2
1.0,2.0,1000,0.6,0.4,11.044897959183674,10.278540205955505,2
1.0,2.0,5000,0.34,0.66,2.342592592592593,10.87779098033905,2
1.414,0.1,100,0.38,0.62,4.814977973568282,0.503330602645874,2
1.414,0.1,500,0.5,0.5,1.2289719626168225,0.623330454826355,2
1.414,0.1,1000,0.4,0.6,1.0,1.092146782875061,2
1.414,0.1,5000,0.46,0.54,1.0,5.161711359024048,2
1.414,0.5,100,0.5,0.5,27.727659574468085,2.3943964719772337,2
1.414,0.5,500,0.56,0.44,5.4493392070484585,2.5362162733078004,2
1.414,0.5,1000,0.28,0.72,2.7920353982300883,2.681433444023132,2
1.414,0.5,5000,0.46,0.54,1.0,5.166340050697326,2
1.414,1.0,100,0.52,0.48,71.81115879828326,4.699531154632568,2
1.414,1.0,500,0.6,0.4,10.736401673640168,4.99834080696106,2
1.414,1.0,1000,0.52,0.48,5.401746724890829,5.021485900878906,2
1.414,1.0,5000,0.48,0.52,1.2146118721461188,5.944144668579102,2
1.414,2.0,100,0.46,0.54,212.73094170403587,8.959084544181824,2
1.414,2.0,500,0.64,0.36,22.477366255144037,9.93859763622284,2
1.414,2.0,1000,0.6,0.4,10.781659388646288,9.619331674575806,2
1.414,2.0,5000,0.38,0.62,2.34703196347032,11.07653654575348,2
1.8,0.1,100,0.48,0.52,5.06140350877193,0.5019252920150756,2
1.8,0.1,500,0.46,0.54,1.2179487179487178,0.6704136037826538,2
1.8,0.1,1000,0.44,0.56,1.0,1.0679988622665406,2
1.8,0.1,5000,0.5,0.5,1.0,5.296593904495239,2
1.8,0.5,100,0.54,0.46,27.404444444444444,2.2917130184173584,2
1.8,0.5,500,0.48,0.52,5.459915611814346,2.620481252670288,2
1.8,0.5,1000,0.34,0.66,2.75,2.5875852394104,2
1.8,0.5,5000,0.46,0.54,1.0,5.142658591270447,2
1.8,1.0,100,0.44,0.56,57.24669603524229,4.579402952194214,2
1.8,1.0,500,0.62,0.38,10.774891774891774,4.83795548915863,2
1.8,1.0,1000,0.54,0.46,5.48936170212766,5.154656777381897,2
1.8,1.0,5000,0.42,0.58,1.2675438596491229,6.302576332092285,2
1.8,2.0,100,0.5,0.5,209.00448430493276,8.957586760520934,2
1.8,2.0,500,0.66,0.34,22.991769547325102,9.918921394348144,2
1.8,2.0,1000,0.72,0.28,10.970833333333331,10.05465106010437,2
1.8,2.0,5000,0.28,0.72,2.364864864864865,11.267722582817076,2
2.5,0.1,100,0.46,0.54,5.064377682403434,0.5124197101593018,2
2.5,0.1,500,0.44,0.56,1.2731277533039649,0.6789864730834961,2
2.5,0.1,1000,0.46,0.54,1.0,1.0642211055755617,2
2.5,0.1,5000,0.44,0.56,1.0,5.260690732002258,2
2.5,0.5,100,0.58,0.42,26.180616740088105,2.31328688621521,2
2.5,0.5,500,0.5,0.5,5.277533039647577,2.498375525474549,2
2.5,0.5,1000,0.36,0.64,2.695067264573991,2.656734366416931,2
2.5,0.5,5000,0.46,0.54,1.0,5.197986769676208,2
2.5,1.0,100,0.5,0.5,56.84931506849315,4.422130789756775,2
2.5,1.0,500,0.58,0.42,10.584415584415584,4.843448791503906,2
2.5,1.0,1000,0.44,0.56,5.373390557939914,5.110125498771668,2
2.5,1.0,5000,0.4,0.6,1.2171945701357465,5.9721142864227295,2
2.5,2.0,100,0.44,0.56,241.3793103448276,9.321811265945437,2
2.5,2.0,500,0.56,0.44,22.44725738396625,9.683147892951965,2
2.5,2.0,1000,0.58,0.42,10.753191489361702,9.868118166923525,2
2.5,2.0,5000,0.4,0.6,2.328888888888889,11.35223132610321,2
